Sunshine,Humidity,Pressure,Cloud,Target,Predict
,21.0,1013.85,0.5,0,0
,,1012.95,,0,0
,33.5,1016.35,,0,0
,27.5,1016.5,1.5,0,0
,52.0,1013.0999999999999,,1,0
1.1,69.0,1014.45,7.0,0,1
,68.5,1014.3,6.5,0,0
,78.0,1010.7,7.0,0,1
,95.5,1022.8,,1,1
,51.5,1020.0,,0,0
,47.0,1007.0,,0,0
10.6,37.5,1006.65,1.5,0,0
,61.0,1007.75,,1,0
11.9,54.5,1023.1999999999999,1.0,0,0
,74.0,,4.0,0,0
,58.5,1016.0999999999999,5.5,0,0
,21.5,1014.6,0.0,0,0
,,,,1,0
,51.5,1029.5,,0,0
,46.0,,2.0,0,0
,49.0,1018.6,,0,0
,,,,0,0
,50.0,1015.75,,0,0
,75.0,1012.55,5.5,0,1
12.9,42.0,1014.05,2.0,0,0
,64.5,,4.0,1,0
2.6,87.5,1016.75,7.5,0,1
10.6,63.5,1011.95,3.5,0,0
,71.0,1019.45,6.5,1,0
11.1,58.5,1018.5,2.0,0,0
,74.0,1016.8,,0,0
,5.5,1011.6,1.0,0,0
,67.5,,,0,0
10.0,34.5,1021.95,2.0,0,0
11.3,14.0,1012.05,6.5,0,0
,40.0,1012.45,,0,0
,71.5,1018.95,7.5,0,0
9.6,42.0,1022.05,4.0,0,0
,72.5,,6.5,1,0
,49.5,1025.3,6.0,0,0
,,,0.5,0,0
,45.0,1013.3,,0,0
,71.5,1019.65,,0,0
,53.0,1005.75,,0,0
,37.5,1013.0,,0,0
,48.0,,2.5,0,0
13.2,22.0,1007.1,1.5,0,0
,55.0,1023.1,7.0,0,0
11.1,47.5,1021.75,0.0,0,0
,96.5,1013.65,,1,1
,68.0,,,0,0
1.1,83.5,1014.1500000000001,8.0,1,1
,58.5,,3.0,0,0
,86.0,1016.45,7.5,1,1
,60.5,1017.35,,0,0
1.8,64.5,1023.95,7.0,0,0
9.9,37.5,1015.5999999999999,1.0,0,0
11.2,15.5,1010.15,0.0,0,0
,60.5,1011.5999999999999,,0,0
,67.0,1031.25,,0,0
,,,,0,0
,15.5,1020.5999999999999,1.5,0,0
,49.0,,0.5,0,0
,53.0,1019.8,,0,0
9.3,61.5,1028.25,5.5,0,0
,74.0,1020.9,,0,0
,65.0,1005.45,4.0,0,0
5.3,39.5,1027.75,6.5,0,0
,61.0,,1.5,0,0
,39.0,1014.0999999999999,,1,0
,81.0,1025.9,,0,0
,63.5,1025.0,,1,0
10.2,49.5,1019.9000000000001,1.0,0,0
,88.0,1008.0,5.0,1,1
,40.5,1009.85,,0,0
,80.5,1024.75,,1,0
,68.5,,1.0,0,0
10.2,58.5,1012.05,5.5,0,0
,54.0,1015.7,3.5,0,0
10.7,67.5,1008.9,5.5,0,0
,67.0,1008.5999999999999,4.5,0,0
,73.0,,6.5,0,0
,,,,0,0
,50.0,1008.3499999999999,6.5,0,0
,51.0,1022.6,7.5,0,0
,57.0,1020.5,,0,0
,97.0,1016.8499999999999,,1,1
,56.0,1014.65,,0,0
,78.5,1015.85,,0,0
,72.0,1015.7,,0,0
,74.5,1022.25,,1,0
,42.5,1018.8,6.0,1,0
,75.0,1016.05,,0,0
,82.0,1016.6,8.0,1,1
,27.0,1005.45,2.5,0,0
5.4,48.0,1019.4,7.0,0,0
,77.5,1022.45,,0,0
8.9,66.5,1009.6500000000001,3.0,0,0
,63.5,1027.0,,0,0
0.0,85.5,1011.3499999999999,8.0,1,1
,57.5,,,1,0
,75.0,,6.0,0,0
,61.0,1017.6500000000001,,0,0
,91.5,1015.7,,1,1
,68.0,,1.5,0,0
,63.0,1019.35,,0,0
8.3,66.5,1024.0,6.5,0,0
,62.5,1017.0,4.5,0,0
,35.0,1012.9000000000001,,0,0
,79.5,1017.8,8.0,0,1
,,,,0,0
,70.5,1010.3499999999999,,1,0
,47.0,,1.5,0,0
,74.0,1022.65,,0,0
,62.0,,4.5,0,0
,86.0,1026.5,,1,0
,83.5,1030.55,,0,0
,88.0,1021.0,,1,1
,60.5,1019.45,,0,0
8.5,44.0,1011.45,6.5,0,0
,87.5,1017.5,,1,1
,23.5,1007.8,,0,0
,,,,1,0
,53.0,1016.05,,0,0
,,1015.4000000000001,,0,0
,78.5,1015.9000000000001,,1,0
11.1,36.5,1023.05,0.5,0,0
9.1,50.5,1014.55,2.5,0,0
,58.0,1022.7,,0,0
,86.5,1009.0,,1,1
,,,,0,0
,58.5,1008.3,,0,0
,59.0,1014.6,,1,0
,17.5,1014.75,2.0,0,0
,21.5,1017.0,0.5,0,0
,52.5,1017.75,,0,0
,17.5,1010.85,1.0,0,0
9.4,55.0,1006.8499999999999,4.0,0,0
,56.5,1011.3,4.5,1,0
,57.0,1021.4,,1,0
,,,,1,0
12.3,65.5,1009.3499999999999,3.0,0,0
,40.5,1014.75,7.0,1,0
,74.0,1009.0,,1,0
,81.0,1014.55,7.0,1,1
,68.5,1007.3,,0,0
,71.5,1018.85,,0,0
,,,,0,0
9.9,45.5,1022.75,4.0,0,0
,51.0,1013.85,,0,0
,,,,0,0
,49.5,,6.5,1,0
,42.5,1009.7,,0,0
,63.5,1019.6,,0,0
13.0,43.0,1011.1500000000001,1.0,0,0
,,,,0,0
,65.0,1009.9000000000001,6.5,0,0
,80.0,1006.95,8.0,1,1
,66.0,1025.9,,0,0
,95.5,1012.8,,0,1
10.2,43.5,1024.8,0.5,0,0
9.4,32.5,1024.9,5.5,0,0
9.8,49.0,1024.0,0.5,0,0
,59.5,1021.3,,0,0
,66.0,1012.0999999999999,7.5,0,0
,77.5,1016.4,,0,0
,55.0,1025.45,,0,0
0.4,89.0,1010.55,7.0,1,1
,71.0,,1.0,0,0
,79.5,1013.0,,1,0
,92.0,1013.1,7.5,0,1
,78.0,,,0,0
,70.5,1022.45,,0,0
,,1024.9,,0,0
,74.5,1018.05,7.0,0,1
,66.5,1013.4000000000001,7.5,0,0
,88.5,1024.7,8.0,0,1
,85.5,1027.1,,1,0
,65.5,1024.05,,0,0
,82.0,1021.15,7.5,0,1
,49.0,1016.4,,0,0
,19.5,1007.3,4.0,0,0
,63.5,1029.4,,0,0
,73.0,1019.4000000000001,,0,0
10.9,67.5,1022.3499999999999,4.0,0,0
,21.5,1021.75,0.0,0,0
,60.5,1009.5,,0,0
,85.5,1017.15,6.5,1,1
5.7,71.5,1014.15,7.5,1,1
,49.0,1010.65,,0,0
,45.0,1016.65,,0,0
9.8,48.5,1012.1,1.0,0,0
,76.5,1011.75,,0,0
10.0,68.5,1019.45,4.0,0,0
11.0,40.0,1008.2,1.0,0,0
,60.0,1024.4,,0,0
,85.0,1016.55,4.5,0,1
3.5,77.5,1019.2,7.0,1,1
0.7,45.0,1013.25,8.0,1,0
,78.0,,6.5,0,0
,43.5,1006.55,7.0,0,0
,44.5,,0.5,0,0
,54.0,1021.2,1.0,0,0
,42.5,1021.25,,0,0
,72.5,1011.8499999999999,6.5,0,1
,85.5,1022.15,,1,0
,58.5,1015.65,6.0,0,0
,54.5,1020.3,,0,0
,,,,0,0
3.6,71.5,1018.85,7.0,1,0
12.3,42.5,1013.35,1.0,0,0
,,,,0,0
,72.5,1018.7,,1,0
,44.5,1016.6,,0,0
,94.5,1023.1,,1,1
,48.0,1016.55,,0,0
,74.5,1016.2,,0,0
,78.5,1029.15,4.5,0,0
,79.5,1007.4,8.0,1,1
,72.0,1016.9,3.0,0,0
,71.0,,7.0,1,0
1.0,83.5,1031.1,6.5,1,1
,75.5,1025.95,5.5,0,0
,73.0,1028.55,,0,0
,32.0,1025.15,,0,0
12.1,36.0,1019.9000000000001,1.0,0,0
,67.5,1023.65,,0,0
,75.0,1017.4,,1,0
,82.5,1012.45,,1,0
11.9,49.0,1014.75,1.5,0,0
,55.5,1019.3,,0,0
,62.5,1014.25,,0,0
,79.0,1004.45,,1,0
0.0,78.5,1024.35,7.0,1,1
,58.5,1009.3,,0,0
,,,,0,0
,57.0,1013.15,,1,0
,39.5,,6.0,0,0
,43.5,1010.8,,0,0
,40.5,1010.05,,0,0
,72.0,1017.05,,0,0
,90.5,1015.1,,1,1
,67.5,1024.4,,0,0
,62.0,,0.5,0,0
,50.5,,1.0,0,0
,45.5,1009.45,,0,0
6.4,86.0,1004.0999999999999,5.5,1,1
,79.5,1014.8499999999999,,1,0
,78.5,1031.3,4.5,1,0
,51.0,1016.4,6.0,0,0
11.6,36.5,1020.55,2.5,0,0
,57.0,1012.85,,0,0
,84.5,1024.65,,0,0
12.6,41.5,1017.4000000000001,0.5,0,0
,47.5,,0.5,0,0
,48.0,1016.8,,0,0
,37.0,,0.5,0,0
,96.0,1010.5999999999999,8.0,1,1
,63.0,1023.45,,0,0
,92.5,,,1,1
7.8,40.5,1018.7,3.5,0,0
11.1,47.5,1020.45,6.5,0,0
10.0,47.5,1016.3499999999999,5.0,0,0
,64.0,1027.3000000000002,,1,0
,61.5,1005.2,,1,0
,38.5,1020.65,,0,0
,,,,0,0
,26.5,1008.35,3.5,0,0
,76.0,,7.0,1,0
,71.5,,4.0,0,0
11.8,19.5,1007.65,2.5,0,0
,54.0,1023.75,,0,0
9.8,50.5,1020.75,2.5,0,0
,33.0,1014.0,,0,0
,38.0,1009.25,,0,0
11.1,31.0,1008.7,3.5,0,0
,15.0,1012.1500000000001,1.5,0,0
,86.5,1017.0,8.0,1,1
,,1017.5,,0,0
,,,,0,0
,69.5,1015.95,,0,0
,56.5,1023.85,1.0,0,0
,40.0,1016.0999999999999,,0,0
,50.5,1009.7,,0,0
10.5,45.5,1020.1,1.0,0,0
,91.5,1029.65,,0,1
,77.0,1008.1500000000001,,1,0
,60.0,1012.1500000000001,,0,0
0.4,86.5,1009.55,7.5,1,1
,64.5,,3.0,0,0
,,,,0,0
9.6,36.0,1021.45,6.0,0,0
,94.5,1005.75,,1,1
,79.5,1005.3,,1,0
,55.0,,1.0,0,0
,32.5,1028.5,0.5,0,0
,35.5,1030.3,0.0,0,0
,50.5,1014.0999999999999,4.0,1,0
,38.0,1020.15,,0,0
,32.5,1007.7,,0,0
,57.5,,3.0,0,0
,58.5,1018.25,,0,0
,91.5,1020.6,7.5,1,1
,75.0,1016.8499999999999,,1,0
,71.0,1015.85,,1,0
,,,,0,0
9.7,47.5,1019.2,2.5,0,0
,75.0,,1.5,0,0
,47.0,1016.45,,0,0
,65.0,,,0,0
7.7,56.0,1013.95,4.5,1,0
,78.5,1025.8,8.0,1,1
,69.5,1009.7,8.0,1,1
9.4,54.0,1021.5999999999999,3.5,0,0
,62.5,1020.05,,0,0
,62.0,1030.6,,0,0
,47.0,1009.0999999999999,,0,0
,34.5,1011.6,1.0,0,0
6.0,71.0,1016.1,5.0,0,0
,94.5,1014.55,,0,1
,51.0,1023.95,,0,0
,55.0,1018.8499999999999,,0,0
,80.5,1012.5999999999999,6.0,1,1
,73.5,1018.8,,0,0
11.3,28.5,1019.8,0.0,0,0
,48.5,1016.5,3.5,0,0
,45.0,1022.7,,0,0
,47.0,1016.1500000000001,,0,0
5.0,87.0,1008.55,4.0,1,1
5.9,83.0,1011.3,6.5,0,1
,84.0,1019.7,,1,0
10.0,38.0,1020.1500000000001,0.5,0,0
,28.5,1013.05,,0,0
,89.5,1019.2,,1,1
,61.5,1020.05,,0,0
,71.5,1027.2,,0,0
,77.5,1021.95,,0,0
,64.0,,3.0,0,0
,76.5,1031.6999999999998,,0,0
,71.5,1028.5,,0,0
,51.0,,,0,0
,80.5,1012.75,7.5,1,1
,88.0,1019.6,,1,1
10.4,53.0,1018.8,0.0,0,0
6.0,61.0,1018.75,5.0,0,0
,54.5,1018.3,3.5,0,0
,,,,0,0
,58.0,1014.7,,0,0
,,,,0,0
,87.0,1013.1500000000001,,0,1
2.2,62.0,1009.15,7.0,1,0
,,,,0,0
,84.5,1028.65,,0,0
,34.5,1021.3499999999999,,0,0
,100.0,1023.1,,1,1
,22.0,1006.6,,1,0
,45.0,1023.45,3.5,0,0
,72.5,1009.3,,0,0
,21.0,1013.55,2.0,0,0
8.9,79.0,1015.7,4.0,0,0
,49.5,1018.25,,0,0
10.6,34.5,1019.75,1.5,0,0
,79.0,1023.2,,1,0
,62.5,,0.0,0,0
,71.0,1015.3499999999999,4.0,0,0
,76.0,1008.55,5.5,0,1
,79.5,1025.1999999999998,,1,0
10.1,59.0,1017.8,3.0,0,0
,87.0,1014.7,,1,1
,52.5,1015.8,,0,0
,49.0,1016.1500000000001,,0,0
,,,,0,0
,75.0,1016.4,,1,0
,63.0,1019.8,,0,0
,64.5,1018.15,5.5,0,0
,51.5,1023.15,,1,0
,62.0,1020.0,,0,0
10.3,41.0,1021.05,1.0,0,0
,86.5,1010.75,8.0,0,1
,56.0,1001.6,4.0,1,0
0.9,86.0,1011.05,8.0,1,1
,53.0,1016.5,,0,0
,37.5,1013.25,0.5,0,0
,61.5,1007.5,,1,0
,57.5,1026.1999999999998,,0,0
,54.0,1005.45,,0,0
0.0,89.0,1020.15,8.0,1,1
,61.0,1023.6500000000001,,0,0
,79.0,1025.8,2.5,0,0
,68.0,1009.65,,1,0
,75.5,1022.55,,0,0
,60.0,,0.5,0,0
,41.0,,4.5,0,0
,59.0,1018.2,,0,0
,44.0,,3.0,1,0
11.3,36.0,1022.6999999999999,0.0,0,0
10.7,42.0,1015.0,2.0,0,0
5.1,72.5,1030.6,6.5,0,0
,80.5,1017.6500000000001,,1,0
,53.0,1011.45,,0,0
,53.5,1014.8499999999999,5.0,0,0
10.5,41.0,1005.45,1.0,0,0
,35.5,1017.45,,0,0
,71.0,1028.7,,0,0
,77.0,1023.5,,1,0
,8.5,1016.05,2.0,0,0
,86.5,1012.1,,1,1
,74.5,1012.05,8.0,0,1
,64.0,1022.3499999999999,1.0,0,0
,80.5,,8.0,1,1
,,,,0,0
,80.5,,7.5,0,1
,46.0,1010.55,,0,0
9.3,77.0,1011.45,6.0,1,1
12.0,57.5,1015.75,3.5,0,0
,35.5,,0.5,1,0
,70.0,1017.1500000000001,,0,0
,73.0,1015.9000000000001,,0,0
11.2,21.0,1007.0,4.5,0,0
,83.0,1028.9,,0,0
9.7,49.5,1019.7,1.0,0,0
,,,,0,0
10.0,45.0,1026.6999999999998,1.0,0,0
,,,,0,0
,41.0,1018.0,2.0,0,0
9.6,66.0,1018.8,6.5,1,0
,,,,0,0
,49.5,1030.55,2.5,0,0
7.8,86.5,,6.0,0,1
,,,,0,0
,,,,0,0
,44.5,1018.7,,0,0
,69.5,1016.4,,1,0
9.5,46.5,1018.7,1.5,0,0
,84.0,1013.25,,0,1
11.3,37.5,1020.3,1.5,0,0
,43.0,1023.25,,0,0
,,,,0,0
12.5,48.0,1007.55,1.5,0,0
,49.5,1014.5,,0,0
,51.5,1021.4000000000001,,0,0
,84.5,,6.0,0,0
,35.5,1018.5,,0,0
,44.0,1007.7,,0,0
,55.5,1020.5999999999999,7.5,0,0
,81.5,,7.5,0,1
,48.5,1017.55,0.0,0,0
,16.0,1012.0999999999999,3.5,0,0
,49.0,1017.0,,0,0
,36.5,1015.9000000000001,,0,0
,79.5,1005.3499999999999,,1,0
10.3,44.0,1019.0,1.5,0,0
,49.5,1018.6,,0,0
,63.0,1015.75,,1,0
,71.5,1025.35,,0,0
,84.5,1022.35,,1,0
,45.5,1015.65,,0,0
,71.5,,6.5,1,0
,67.0,1030.55,,0,0
4.5,77.5,1016.75,5.0,1,0
,85.5,1013.9,7.5,1,1
,28.5,1014.2,,0,0
11.0,39.5,1017.75,1.0,0,0
,66.5,1019.2,5.5,0,0
,70.0,,3.5,0,0
,,,,0,0
,47.0,,,0,0
,75.5,1011.05,6.0,0,1
,65.5,1024.55,,0,0
,,,,0,0
,92.5,1001.95,8.0,1,1
,78.5,1009.45,,1,0
,63.5,1011.25,6.5,0,0
10.0,48.0,1022.9,3.0,0,0
,66.5,,7.5,0,0
,55.5,1009.45,,0,0
,40.0,1011.0,6.5,0,0
0.8,62.0,1026.8,7.0,0,0
,41.0,1009.4000000000001,,0,0
,40.5,1008.0,,0,0
,50.0,1018.9,,0,0
,72.0,,7.5,1,0
,85.0,,7.0,1,0
11.0,28.0,1024.6,4.0,0,0
11.3,38.0,1027.0,2.0,0,0
10.3,38.0,1019.65,0.5,0,0
,55.5,1014.0999999999999,,0,0
,73.5,1017.65,,0,0
,,1016.0999999999999,,0,0
,44.0,,5.0,0,0
,33.0,,0.0,0,0
3.4,89.5,1007.75,7.5,1,1
,,,,0,0
,58.5,1020.25,,0,0
12.3,65.0,1016.1500000000001,4.5,0,0
,64.5,1010.95,,1,0
10.7,45.5,1021.25,1.5,0,0
2.0,83.0,1014.35,7.0,1,1
0.3,76.0,1031.6999999999998,7.5,1,1
,25.5,1016.3,,0,0
,64.0,1021.1500000000001,,0,0
2.7,88.0,1020.1,8.0,0,1
12.0,33.5,1019.9000000000001,2.5,0,0
7.7,79.0,1017.7,3.5,0,0
,73.0,1018.8,,0,0
,43.0,1014.6500000000001,,0,0
,30.5,1017.5999999999999,7.0,0,0
,31.0,1011.1,,0,0
,72.5,,4.5,0,0
,65.0,1014.45,,0,0
,64.0,1017.75,,1,0
,40.0,1018.1,,0,0
,29.5,1005.85,,0,0
,78.0,1014.2,,1,0
,25.5,1009.95,2.5,0,0
,60.5,1021.9,1.5,1,0
,84.0,1008.8499999999999,,1,1
,88.5,,7.0,1,1
,59.5,,,0,0
,52.0,1012.15,,0,0
,71.0,1024.9,,1,0
0.2,42.5,1012.95,6.5,0,0
5.0,79.5,1023.75,7.0,1,1
,51.0,1014.4000000000001,,1,0
,59.0,1026.95,6.0,0,0
,63.5,,,1,0
11.4,27.5,1014.45,0.0,0,0
,86.0,1021.3,,1,1
,58.0,1013.4,,0,0
0.3,82.5,1015.45,7.0,1,1
10.2,61.0,1011.75,4.0,0,0
,31.0,1013.8,,0,0
,62.5,1025.4,7.5,0,0
,80.0,1009.75,7.5,0,1
8.5,46.5,1019.75,5.0,0,0
,72.5,1023.9000000000001,,0,0
,,1012.6500000000001,,0,0
,67.5,1036.8,,0,0
5.9,59.0,1023.3,4.0,1,0
10.9,35.5,1018.3,0.0,0,0
11.3,35.5,1016.9000000000001,5.5,0,0
,71.0,1026.3000000000002,,1,0
,64.5,1010.9,,1,0
,84.0,1010.55,8.0,1,1
,48.5,1013.6,,0,0
,74.0,1018.5,,1,0
,65.5,1026.15,,0,0
,62.5,1017.5999999999999,,0,0
9.0,36.0,1019.1,1.0,0,0
,37.5,1009.6,,0,0
,64.5,,5.0,0,0
11.2,36.0,1012.7,0.5,0,0
,27.5,1004.0,1.0,0,0
,49.0,1016.9,,0,0
,44.5,1021.35,,0,0
,66.5,1013.8,1.0,0,0
,,,,1,0
,37.0,,,0,0
7.8,47.5,1002.8499999999999,3.5,0,0
,82.5,1030.3,,0,0
0.5,75.5,1018.55,7.0,0,1
,87.0,1016.1,,0,1
,59.0,1019.0,,0,0
11.0,33.5,1011.8499999999999,2.0,0,0
,73.0,1026.85,,0,0
,29.0,1015.0,5.0,0,0
12.1,54.5,1020.75,0.5,0,0
,73.0,1016.8499999999999,,0,0
,72.5,,3.0,0,0
,65.0,1023.8,3.5,0,0
0.0,95.0,1014.5,8.0,1,1
10.8,65.5,1018.0999999999999,2.0,0,0
,44.5,1017.3499999999999,2.0,0,0
13.2,38.0,1020.35,1.0,0,0
,78.5,1029.2,,0,0
,56.0,1015.05,4.5,0,0
0.9,51.0,1012.3,7.0,0,0
,,,,0,0
9.7,61.0,1018.75,0.5,0,0
,15.5,1014.4,0.5,0,0
,72.5,1035.3,,0,0
,47.5,1018.8,2.0,0,0
,76.5,1018.0,,0,0
,20.0,1009.7,1.0,0,0
9.5,60.0,1016.75,1.5,0,0
,77.5,1006.15,,0,0
,39.0,,1.0,0,0
,91.0,1004.4,8.0,1,1
,73.0,1009.3,,1,0
,71.0,1012.35,5.5,1,0
,58.5,1016.7,,0,0
,75.5,1020.85,,1,0
,40.0,1014.0,,0,0
,74.0,1028.75,,0,0
,83.0,1033.65,,0,0
,61.5,1017.05,,0,0
,,,,0,0
,55.5,,3.0,0,0
12.5,60.5,1019.75,3.0,0,0
,76.5,,,0,0
,58.0,1021.0,,0,0
,60.0,,4.0,0,0
,44.0,,4.0,0,0
,49.0,,0.5,0,0
,,,,1,0
,63.5,1008.15,,0,0
5.4,63.0,1016.8,5.5,0,0
,53.5,1017.1500000000001,,0,0
7.8,67.5,1003.2,5.5,1,0
,66.5,,3.0,0,0
,78.5,,5.5,0,0
3.1,54.0,1001.0999999999999,7.0,0,0
,69.0,1027.45,,0,0
,47.5,1004.8,,1,0
,,,,0,0
,59.0,1017.95,,0,0
7.0,19.5,1018.85,7.0,0,0
6.4,60.0,1021.55,6.0,0,0
,66.0,1018.6,,0,0
10.6,35.0,1025.2,2.0,0,0
,67.5,,3.0,1,0
,41.0,,1.0,0,0
,55.5,1021.3,,0,0
10.9,39.0,1030.1,0.5,0,0
4.5,83.0,1008.0999999999999,5.0,1,1
10.7,40.5,1015.05,3.0,0,0
,73.5,1023.35,3.5,0,0
,,,,1,0
10.8,37.5,1021.75,1.0,0,0
,70.5,,5.5,0,0
0.7,84.0,1017.0,7.5,1,1
,52.0,1009.4,,0,0
8.6,53.0,1029.5,5.5,0,0
,70.0,1011.8,,0,0
,44.5,1011.6,1.0,0,0
,67.0,1009.0999999999999,,1,0
,,,,0,0
,,1009.8,,0,0
,58.0,1022.95,,0,0
,59.0,,1.5,0,0
,64.5,1015.25,,0,0
10.4,40.5,1021.2,0.0,0,0
,82.5,1019.0999999999999,,0,0
,83.0,1021.95,,0,0
,55.5,1011.1,,0,0
,71.5,1004.9000000000001,8.0,1,1
,47.5,1019.3499999999999,,0,0
,60.5,1028.6,,0,0
,29.0,1005.45,,0,0
,16.5,1019.35,0.5,0,0
,62.0,1013.55,3.5,0,0
12.2,43.5,1016.25,4.5,0,0
,43.0,1017.35,,0,0
10.5,67.5,1011.35,2.5,0,0
0.0,92.5,1018.55,8.0,1,1
8.8,57.5,1015.25,5.5,0,0
,67.0,1020.4,,0,0
,83.0,1022.5,,1,0
,93.5,1028.8000000000002,,1,1
,29.0,1009.55,1.0,1,0
,50.5,1022.1,6.5,0,0
11.1,26.0,1009.5,4.0,0,0
,80.0,1026.1,,0,0
,25.5,1008.65,,0,0
11.3,29.0,1021.6500000000001,0.0,0,0
,84.5,1023.75,,0,0
,62.0,1020.35,,1,0
10.6,53.5,1012.1500000000001,1.5,0,0
9.2,30.0,1013.6,3.0,0,0
10.5,54.0,1012.1,1.0,0,0
,85.0,1007.55,,1,1
,45.0,1012.65,2.0,0,0
,74.5,1023.4,7.0,0,0
10.5,24.5,1018.15,0.0,0,0
11.2,61.0,1013.0999999999999,1.0,0,0
,66.5,1018.5,,1,0
,62.0,1014.25,,0,0
,85.5,1017.85,,0,1
,83.5,1019.4,4.5,1,0
,46.0,1022.2,,0,0
,95.5,1001.55,8.0,1,1
4.3,66.5,1024.95,6.5,0,0
,59.0,1016.1,,0,0
,54.5,,3.0,0,0
,67.0,,6.0,1,0
,50.0,1023.55,1.5,0,0
12.2,18.5,1012.4,0.0,0,0
,,,,0,0
9.4,75.5,1018.8499999999999,2.0,1,0
,68.0,1032.7,,0,0
0.0,94.0,999.7,8.0,1,1
,70.0,1016.1500000000001,,0,0
11.8,37.0,1011.75,0.0,0,0
,70.0,1018.4,,1,0
,55.5,1012.8,,0,0
12.7,18.0,1008.25,0.5,0,0
2.4,84.5,1011.3,7.5,1,1
2.1,38.0,1017.75,5.5,0,0
,42.0,1021.45,,0,0
10.3,30.5,1008.8,1.0,0,0
,,,,1,0
,88.0,1021.5999999999999,7.5,0,1
,71.5,1010.15,,0,0
,52.5,1016.1500000000001,,0,0
,60.5,1020.7,,0,0
4.3,66.0,1017.55,7.0,1,0
,21.5,1025.1999999999998,,0,0
,,1016.05,7.5,0,0
,56.0,1021.3,,0,0
,69.0,1005.95,4.5,1,0
,61.0,1030.95,2.5,0,0
,57.5,1023.0,,0,0
4.8,69.5,1013.5,6.0,0,0
0.0,59.0,1016.9000000000001,8.0,1,0
6.6,53.0,,4.0,0,0
,59.5,,2.5,0,0
,64.5,,3.0,0,0
,35.5,1007.8,4.0,0,0
,79.5,1009.45,,0,0
,77.0,,7.5,1,0
0.0,49.0,1023.8499999999999,7.0,0,0
,,,,1,0
,13.0,1011.4000000000001,3.0,0,0
,66.0,1018.05,,0,0
,49.5,1020.7,,0,0
,35.0,1017.95,,0,0
7.5,70.0,1028.6,7.0,0,0
8.2,65.0,1025.25,4.0,0,0
11.9,30.0,1023.1,0.5,0,0
,64.0,1012.9000000000001,,0,0
11.2,37.0,1017.95,2.0,0,0
8.7,78.0,1014.95,4.5,1,0
,,,,0,0
,61.0,1020.25,,0,0
,41.0,1009.0,,0,0
,68.0,1024.55,,0,0
,61.0,1016.75,,0,0
,43.0,1016.75,,0,0
,80.5,1032.15,,0,0
,56.0,1027.3,,0,0
11.0,42.5,1016.1,2.0,0,0
1.3,82.0,1009.05,6.5,1,1
,79.0,1016.6,7.0,1,1
,67.5,1017.5,8.0,0,0
10.7,52.0,1017.95,1.5,0,0
0.6,88.0,1018.6,7.5,1,1
0.7,80.5,1013.65,8.0,1,1
,67.5,1016.6500000000001,,0,0
,80.5,1031.5500000000002,,0,0
,74.5,,4.5,0,0
,50.0,1020.85,,0,0
